key,title,category_primary,content_format,content_purpose,series_name,classification_method,classification_confidence,matched_rule,classification_reason,signal_sources,manual_override,needs_review,review_reason,analysis_date
n4cf42255198b,ハッピーライティングマラソン＃５９｜あなたの声で、いま大切な人に届けたい言葉は何ですか？,暮らし・人生,エッセイ,お題・参加企画,ハッピーライティングマラソン,manual_override_v1,1.0,ハッピーライティングマラソン,manual:Phase4監査: ハッピーライティングマラソンの問いへの回答・振り返り。 / purpose:お題・参加企画←title「ハッピーライティングマラソン」 / series:ハッピーライティングマラソン←title「ハッピーライティングマラソン」,"title,manual_override",true,false,,2026-09-11
n4e92bee4eb73,🏮迎え火の最後尾に、父がいる✨,暮らし・人生,エッセイ,通常記事,,manual_override_v1,1.0,父,manual:Phase4監査: 迎え火と亡父の記憶を重ねた家族エッセイ。 / theme:家族・人間関係←title「父」,"title,manual_override",true,false,,2026-09-11
n4ea538f6e346,自己紹介　はじめてのnote,暮らし・人生,エッセイ,通常記事,,multi_signal_rule_v2,0.82,自己紹介,theme:暮らし・人生←title「自己紹介」,title,false,false,,2026-09-11
n50668cb9ac27,🌟自己紹介のつづき③｜頑張ることが😤私の価値だった！海外への憧れから30歳の離婚まで,暮らし・人生,エッセイ,通常記事,自己紹介のつづき,multi_signal_rule_v2,0.82,自己紹介 / 自己紹介のつづき,theme:暮らし・人生←title「自己紹介」 / series:自己紹介のつづき←title「自己紹介のつづき」,title,false,false,,2026-09-11
n53052c1a66e5,✨プロジェクト・企画の応援してまーす📣,note運営・交流,エッセイ,告知,,manual_override_v1,1.0,企画の応援,manual:Phase4監査: 企画告知、受賞・節目の報告、note上の交流や感謝。 / purpose:告知←title「企画の応援」,"title,manual_override",true,false,,2026-09-11
n54086f019f4b,✨noteでつながったご縁が物語になった日｜作品に登場させてもらえて感じた優しさ❤️,創作・表現,エッセイ,通常記事,,multi_signal_rule_v2,0.82,物語,theme:創作・表現←title「物語」,title,false,false,,2026-09-11
n546d32f04e8c,🌟知ってる？CCC部【Chat GPT Creative Club】🌟,AI,解説・紹介,通常記事,,multi_signal_rule_v2,0.82,ChatGPT / 知ってる？,theme:AI←title「ChatGPT」 / format:解説・紹介←title「知ってる？」,title,false,false,,2026-09-11
n572ff39fdea7,🎵初夏のきらめき🎵夏の思い出から作った曲、さわりだけでもどうぞ〜💖,創作・表現,音楽,通常記事,,manual_override_v1,1.0,🎵,manual:Phase4監査: 楽曲の公開・制作背景を扱う音楽作品。 / theme:創作・表現←title「🎵」 / format:音楽←title「🎵」,"title,manual_override",true,false,,2026-09-11
n57aa29e04165,🌱 スキのタネ研究所だより Vol.001,研究,研究レポート,通常記事,スキのタネ研究所,multi_signal_rule_v2,0.82,スキのタネ研究所 / 研究所だより,theme:研究←title「スキのタネ研究所」 / format:研究レポート←title「研究所だより」 / series:スキのタネ研究所←title「スキのタネ研究所」,title,false,false,,2026-09-11
n59db31cebe85,✨ハッピーライティングマラソン過去お題チャレンジ|＃３１〜３８✨,暮らし・人生,エッセイ,お題・参加企画,ハッピーライティングマラソン,manual_override_v1,1.0,ハッピーライティングマラソン,manual:Phase4監査: 過去のライティング企画のお題をまとめて回答。 / purpose:お題・参加企画←title「ハッピーライティングマラソン」 / series:ハッピーライティングマラソン←title「ハッピーライティングマラソン」,"title,manual_override",true,false,,2026-09-11
n5c06eed6e8ef,🌟マガジン登録・記事紹介・スキ・フォロー・コメントありがとうございます💖,note運営・交流,エッセイ,活動報告,マガジン感謝報告,multi_signal_rule_v2,0.82,マガジン / マガジン登録,theme:note運営・交流←title「マガジン」 / purpose:活動報告←title「マガジン登録」 / series:マガジン感謝報告←title「マガジン登録」,title,false,false,,2026-09-11
n5cc9f0e3dfaf,✨「好き」だけ見ていても、スキのタネ🌱は見つからなかった。｜NRT CASE-001 夏目羊さん✨,研究,研究レポート,通常記事,,multi_signal_rule_v2,0.82,NRT,theme:研究←title「NRT」 / format:研究レポート←title「NRT」,title,false,false,,2026-09-11
n5ff728cb5bd4,【音の夏休み】🎶自分の中に眠る夏の記憶を呼び覚ます「夏の余白」🎐,創作・表現,音楽,通常記事,,manual_override_v1,1.0,🎶,manual:Phase4監査: 楽曲の公開・制作背景を扱う音楽作品。 / theme:創作・表現←title「🎶」 / format:音楽←title「🎶」,"title,manual_override",true,false,,2026-09-11
n60ba0664bd33,✨ハッピーライティングマラソンお題#63｜「あなたを支えてくれている人は、誰ですか？,暮らし・人生,エッセイ,お題・参加企画,ハッピーライティングマラソン,manual_override_v1,1.0,ハッピーライティングマラソン,manual:Phase4監査: ハッピーライティングマラソンの問いへの回答・振り返り。 / purpose:お題・参加企画←title「ハッピーライティングマラソン」 / series:ハッピーライティングマラソン←title「ハッピーライティングマラソン」,"title,manual_override",true,false,,2026-09-11
n622aaf25efb6,✨5秒の「スキ」本気で遊んだら、スキ動画賞をいただきました🏆✨,note運営・交流,動画,活動報告,,manual_override_v1,1.0,動画 / 賞を,manual:Phase4監査: 企画告知、受賞・節目の報告、note上の交流や感謝。 / format:動画←title「動画」 / purpose:活動報告←title「賞を」,"title,manual_override",true,false,,2026-09-11
n62b2f047f782,ハッピーライティングマラソン＃４４｜最近「うまくできたな」と思ったことはありますか？,暮らし・人生,エッセイ,お題・参加企画,ハッピーライティングマラソン,manual_override_v1,1.0,ハッピーライティングマラソン,manual:Phase4監査: ハッピーライティングマラソンの問いへの回答・振り返り。 / purpose:お題・参加企画←title「ハッピーライティングマラソン」 / series:ハッピーライティングマラソン←title「ハッピーライティングマラソン」,"title,manual_override",true,false,,2026-09-11
n640f69e99148,まさかの予約ミス！ホテルがない…出張先で営業25年が冷や汗💦,旅行・おでかけ,エッセイ,通常記事,,multi_signal_rule_v2,0.82,ホテル,theme:旅行・おでかけ←title「ホテル」,title,false,false,,2026-09-11
n6471fe125705,コンクリートの隙間から咲く花と、わたしたちの中に眠る”タネ”の話,花・自然,写真,通常記事,,manual_override_v1,1.0,花 / 写真,manual:Phase4監査: 花・植物・空・昆虫などの観察、写真、作品を扱う記事。 / theme:花・自然←title「花」 / format:写真←body「写真」,"title,body,manual_override",true,false,,2026-09-11
n6525c6807e71,「なんか違う…」凍らせヨーグルトじゃ満たされないアイス欲🍨の解決策⁉️,暮らし・人生,エッセイ,通常記事,,manual_override_v1,1.0,ヨーグルト,manual:Phase4監査: ダイエット中のアイス欲と代替食品を試した日常記録。 / theme:仕事・暮らし←title「ヨーグルト」,"title,manual_override",true,false,,2026-09-11
n6660eef00c42,赤い花がかわいいなと思ったら、「デイゴ」って書いてあった話🌺,花・自然,写真,通常記事,,manual_override_v1,1.0,花 / 写真,manual:Phase4監査: 花・植物・空・昆虫などの観察、写真、作品を扱う記事。 / theme:花・自然←title「花」 / format:写真←body「写真」,"title,body,manual_override",true,false,,2026-09-11
n678dc7c16f5f,1年振り,暮らし・人生,エッセイ,通常記事,,manual_override_v1,1.0,父,manual:Phase4監査: 父の急逝などを経た一年と、活動再開を振り返る。 / theme:家族・人間関係←body「父」,"body,manual_override",true,false,,2026-09-11
n6a1225a817bb,✨ChatGPTのヨシダくんのはずが…おばギャ誕生秘話を4コマ漫画で公開⁉️,AI,漫画・イラスト,通常記事,,multi_signal_rule_v2,0.82,ChatGPT / 4コマ,theme:AI←title「ChatGPT」 / format:漫画・イラスト←title「4コマ」,title,false,false,,2026-09-11
n6e121020dd68,この春は、ことばの衣替えから始めます🌸,暮らし・人生,エッセイ,通常記事,,manual_override_v1,1.0,自分,manual:Phase4監査: 文章と日本語を学び、自分の言葉を整える決意。 / theme:暮らし・人生←body「自分」,"body,manual_override",true,false,,2026-09-11
n6fbe8b5c599f,✨光だけを見せていた私が、本音のキャラ「クロノアル」を生んだ理由✨,暮らし・人生,エッセイ,通常記事,,multi_signal_rule_v2,0.82,私,theme:暮らし・人生←title「私」,title,false,false,,2026-09-11
n6ff8a26bc297,【800フォロワー感謝🌟】このnoteで、これからも大切に発信していきたいこと✨,note運営・交流,エッセイ,活動報告,,manual_override_v1,1.0,このnote / フォロワー,manual:Phase4監査: 企画告知、受賞・節目の報告、note上の交流や感謝。 / theme:note運営・交流←title「このnote」 / purpose:活動報告←title「フォロワー」,"title,manual_override",true,false,,2026-09-11
n7196653db72b,✨マガジン登録・記事紹介・スキ・フォロー・コメントありがとうございます❤️,note運営・交流,エッセイ,活動報告,マガジン感謝報告,multi_signal_rule_v2,0.82,マガジン / マガジン登録,theme:note運営・交流←title「マガジン」 / purpose:活動報告←title「マガジン登録」 / series:マガジン感謝報告←title「マガジン登録」,title,false,false,,2026-09-11
n725acf24a97d,美しいだけじゃない。面白さに惹かれる中世写本「The Luttrell Psalter」,アート・文化,解説・紹介,通常記事,,multi_signal_rule_v2,0.82,写本,theme:アート・文化←title「写本」 / format:解説・紹介←title「写本」,title,false,false,,2026-09-11
n72b860277a93,「また頭痛か・・・」リアルな頭痛日ルーティン,暮らし・人生,エッセイ,通常記事,,manual_override_v1,1.0,テレワーク,manual:Phase4監査: 頭痛の日のテレワーク判断、食事、休み方を記録。 / theme:仕事・暮らし←body「テレワーク」,"body,manual_override",true,false,,2026-09-11
n72ca75ed2264,ハッピーライティングマラソン#52｜「最近、思わず笑ってしまった出来事は？」,暮らし・人生,エッセイ,お題・参加企画,ハッピーライティングマラソン,manual_override_v1,1.0,ハッピーライティングマラソン,manual:Phase4監査: ハッピーライティングマラソンの問いへの回答・振り返り。 / purpose:お題・参加企画←title「ハッピーライティングマラソン」 / series:ハッピーライティングマラソン←title「ハッピーライティングマラソン」,"title,manual_override",true,false,,2026-09-11
n747696e450db,✨マガジン追加・記事ご紹介・スキ・フォロー・コメントありがとうございます💖,note運営・交流,エッセイ,活動報告,マガジン感謝報告,multi_signal_rule_v2,0.82,マガジン / マガジン追加,theme:note運営・交流←title「マガジン」 / purpose:活動報告←title「マガジン追加」 / series:マガジン感謝報告←title「マガジン追加」,title,false,false,,2026-09-11
n771544dd99ad,✨あの日の選択が今の私を作ったわけじゃない⁉️人生の分岐点と毎日の積み重ね✨,暮らし・人生,エッセイ,通常記事,,multi_signal_rule_v2,0.82,人生,theme:暮らし・人生←title「人生」,title,false,false,,2026-09-11
